concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,1778.7446880000034,0.0,18391.035471379924,4.489998894379864,qwen3_32b-perf-tp4,4
8,8192,1,4081.90453200001,0.0,16046.705499008594,1.9588263548594476,qwen3_32b-perf-tp4,4
32,4096,1,7114.000100999988,0.0,18401.749333002877,4.492614583252656,qwen3_32b-perf-tp4,4
32,8192,1,16328.707751499962,0.0,16045.523521582629,1.958682070505692,qwen3_32b-perf-tp4,4
16,4096,1024,1925.4570940000235,20.004294499983644,2723.360452846325,680.8401132115813,qwen3_32b-perf-tp4,4
32,4096,1024,4368.014089999974,24.82152350000888,3901.0015720597503,975.2503930149376,qwen3_32b-perf-tp4,4
