concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,1153.7776240000994,0.0,28347.71533497632,6.920828939203203,qwen3_moe-epmoe-perf-tp4-ep4,4
8,8192,1,2539.983729499909,0.0,25781.312165141597,3.1471328326588863,qwen3_moe-epmoe-perf-tp4-ep4,4
32,4096,1,4615.5611494999675,0.0,28355.499659383124,6.922729409029083,qwen3_moe-epmoe-perf-tp4-ep4,4
32,8192,1,10157.580252000003,0.0,25781.55593342987,3.1471625895300135,qwen3_moe-epmoe-perf-tp4-ep4,4
32,4096,1024,2405.6688680000207,17.95838999987609,5697.08009817116,1424.27002454279,qwen3_moe-epmoe-perf-tp4-ep4,4
64,4096,1024,5923.794111999996,26.407190000099945,6976.7850065221355,1744.1962516305339,qwen3_moe-epmoe-perf-tp4-ep4,4
96,4096,1024,7023.132746999977,35.30487900002299,7856.162712142334,1964.0406780355836,qwen3_moe-epmoe-perf-tp4-ep4,4
