concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,871.9608115000028,0.0,37476.611443899674,9.149563340795819,qwen3_moe-fused-perf-tp4-ep4,4
8,8192,1,1979.2683539999416,0.0,33082.52146209908,4.038393733166392,qwen3_moe-fused-perf-tp4-ep4,4
32,4096,1,3487.1275920002063,0.0,37492.35678055645,9.15340741712804,qwen3_moe-fused-perf-tp4-ep4,4
32,8192,1,7907.549608999943,0.0,33090.54189461185,4.039372789869611,qwen3_moe-fused-perf-tp4-ep4,4
32,4096,1024,1824.6273969998583,19.156069500013473,5671.58030534191,1417.8950763354776,qwen3_moe-fused-perf-tp4-ep4,4
64,4096,1024,4476.6966005001905,27.14360449999731,7275.472613019695,1818.8681532549238,qwen3_moe-fused-perf-tp4-ep4,4
96,4096,1024,5312.099264999915,34.81305900004372,8521.799184243853,2130.4497960609633,qwen3_moe-fused-perf-tp4-ep4,4
