concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,4096,1,804.2220735000001,0.0,40629.452055652975,9.919299818274652,qwen3_moe-fused-perf-tp4-ep4,4
8,8192,1,1834.529026000041,0.0,35682.26421808686,4.355745143809431,qwen3_moe-fused-perf-tp4-ep4,4
32,4096,1,3214.6729180000193,0.0,40650.15180798909,9.924353468747336,qwen3_moe-fused-perf-tp4-ep4,4
32,8192,1,7325.793268000098,0.0,35693.59930241915,4.3571288210960875,qwen3_moe-fused-perf-tp4-ep4,4
32,4096,1024,1685.4110565000155,15.706889000057345,6783.798416957321,1695.9496042393303,qwen3_moe-fused-perf-tp4-ep4,4
64,4096,1024,4126.792974999944,25.917556999957014,7416.427894678556,1854.106973669639,qwen3_moe-fused-perf-tp4-ep4,4
96,4096,1024,4898.661178999873,27.4075070001345,10414.400495244236,2603.600123811059,qwen3_moe-fused-perf-tp4-ep4,4
