concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,630.6495359999928,0.0,12582.464652111106,12.287563136827252,Qwen/Qwen3-30B-A3B,4
8,1024,1024,416.10496999999214,9.997264499986613,752.403879143698,752.403879143698,Qwen/Qwen3-30B-A3B,4
8,4096,1,2522.293609499968,0.0,12939.115622703535,3.1589637750741053,Qwen/Qwen3-30B-A3B,4
8,4096,1024,1436.0423829999718,10.975864999977603,2377.768683591418,594.4421708978545,Qwen/Qwen3-30B-A3B,4
8,8192,1,5193.207103000021,0.0,12573.811598235812,1.53488911111277,Qwen/Qwen3-30B-A3B,4
8,8192,1024,2945.5329525000025,11.845839999978125,3775.4954679838975,471.9369334979872,Qwen/Qwen3-30B-A3B,4
16,1024,1,1262.215968000021,0.0,12841.253345671676,12.540286470382496,Qwen/Qwen3-30B-A3B,4
16,1024,1024,734.7773740000321,14.546939999945607,1012.5297683280663,1012.5297683280663,Qwen/Qwen3-30B-A3B,4
16,4096,1,5039.131916499969,0.0,12968.736282654365,3.1661953815074133,Qwen/Qwen3-30B-A3B,4
16,4096,1024,2703.0906685000105,16.226384999981747,3021.3700395516676,755.3425098879169,Qwen/Qwen3-30B-A3B,4
16,8192,1,10394.438147000017,0.0,12592.612510110534,1.5371841443006022,Qwen/Qwen3-30B-A3B,4
16,8192,1024,5554.010697500018,18.366590999903565,4487.28199369081,560.9102492113512,Qwen/Qwen3-30B-A3B,4
32,1024,1,2522.6240730000313,0.0,12898.849401927733,12.596532619070052,Qwen/Qwen3-30B-A3B,4
32,1024,1024,1364.6386939998365,20.339468500083058,1406.826231221722,1406.826231221722,Qwen/Qwen3-30B-A3B,4
32,4096,1,10061.666090999894,0.0,13016.934000879462,3.1779624025584625,Qwen/Qwen3-30B-A3B,4
32,4096,1024,5216.4026880000165,23.72966449991054,3815.234384022512,953.808596005628,Qwen/Qwen3-30B-A3B,4
32,8192,1,20694.947885499914,0.0,12644.747097250343,1.5435482296448173,Qwen/Qwen3-30B-A3B,4
32,8192,1024,12362.080578500012,23.999624499879246,4664.735534478571,583.0919418098214,Qwen/Qwen3-30B-A3B,4
64,1024,1,5039.815359000045,0.0,12951.519368073952,12.647968132884719,Qwen/Qwen3-30B-A3B,4
64,1024,1024,2624.8003984999286,28.929859499953636,1892.4331091929175,1892.4331091929175,Qwen/Qwen3-30B-A3B,4
64,4096,1,20035.55578199996,0.0,13047.886061858959,3.185519058071035,Qwen/Qwen3-30B-A3B,4
64,4096,1024,12748.300310000104,30.53261849993305,3800.5195818630036,950.1298954657509,Qwen/Qwen3-30B-A3B,4
64,8192,1,41265.081168999925,0.0,12673.024750072582,1.5470000915615945,Qwen/Qwen3-30B-A3B,4
64,8192,1024,80443.20040799995,23.583144499980335,4777.2748522014945,597.1593565251868,Qwen/Qwen3-30B-A3B,4
128,1024,1,10063.947609000024,0.0,12945.722762148154,12.642307384910307,Qwen/Qwen3-30B-A3B,4
128,1024,1024,5182.532008999942,36.90395950002312,2250.1556020615917,2250.1556020615917,Qwen/Qwen3-30B-A3B,4
128,4096,1,40070.492586,0.0,13041.572938831385,3.183977768269381,Qwen/Qwen3-30B-A3B,4
128,4096,1024,94558.75304849996,30.785299999934068,3797.4342310261113,949.3585577565278,Qwen/Qwen3-30B-A3B,4
128,8192,1,82625.02596000013,0.0,12659.183001235146,1.5453104249554621,Qwen/Qwen3-30B-A3B,4
128,8192,1024,169299.86314450004,23.768899499827967,4802.944380977834,600.3680476222293,Qwen/Qwen3-30B-A3B,4
256,1024,1,20115.382210000007,0.0,12960.15695876491,12.656403280043858,Qwen/Qwen3-30B-A3B,4
256,1024,1024,53045.782465999764,37.20695499987414,2277.76717556827,2277.76717556827,Qwen/Qwen3-30B-A3B,4
256,4096,1,80204.22929699998,0.0,13056.08698292826,3.1875212360664698,Qwen/Qwen3-30B-A3B,4
256,4096,1024,228108.30270999987,30.714090000401484,3823.610810569103,955.9027026422757,Qwen/Qwen3-30B-A3B,4
256,8192,1,165218.09160449993,0.0,12678.30179962603,1.5476442626496618,Qwen/Qwen3-30B-A3B,4
256,8192,1024,396674.4185860002,23.652508999475685,4805.579520793732,600.6974400992165,Qwen/Qwen3-30B-A3B,4
