concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,226.94633149990295,0.0,33415.656416059086,32.6324769688077,Qwen/Qwen3-8B,1
8,1024,1024,169.3851594999387,15.451862500071911,509.46524974177214,509.46524974177214,Qwen/Qwen3-8B,1
8,4096,1,1068.5518379998484,0.0,30317.481543190814,7.40172889238057,Qwen/Qwen3-8B,1
8,4096,1024,624.0689029999658,18.918245999998362,1605.3188761988074,401.32971904970185,Qwen/Qwen3-8B,1
8,8192,1,2453.6331759999257,0.0,26548.59003007024,3.2407946814050588,Qwen/Qwen3-8B,1
8,8192,1024,1393.6829849999413,22.003455500112068,2115.013979221462,264.3767474026827,Qwen/Qwen3-8B,1
16,1024,1,454.02089350011465,0.0,35083.433772377226,34.261165793337135,Qwen/Qwen3-8B,1
16,1024,1024,276.57553700009885,17.106731499893613,909.669292478162,909.669292478162,Qwen/Qwen3-8B,1
16,4096,1,2136.9826989999865,0.0,30481.185682550702,7.44169572327898,Qwen/Qwen3-8B,1
16,4096,1024,1226.2740945000132,21.87887899992802,2087.295681763421,521.8239204408552,Qwen/Qwen3-8B,1
16,8192,1,4907.090740500053,0.0,26617.99032739271,3.2492663973868052,Qwen/Qwen3-8B,1
16,8192,1024,26298.68143249996,21.99672449978607,2289.9536260853265,286.2442032606658,Qwen/Qwen3-8B,1
32,1024,1,908.4946040002251,0.0,35304.18857093396,34.4767466513027,Qwen/Qwen3-8B,1
32,1024,1024,504.32666699975925,20.535535499902835,1489.960921744823,1489.960921744823,Qwen/Qwen3-8B,1
32,4096,1,4273.447300000271,0.0,30560.61722729907,7.461088190258562,Qwen/Qwen3-8B,1
32,4096,1024,25830.350514999962,22.0208255000216,2087.1745958813763,521.7936489703441,Qwen/Qwen3-8B,1
32,8192,1,9812.28534800016,0.0,26665.097436641157,3.255016776933735,Qwen/Qwen3-8B,1
32,8192,1024,76341.4696970001,22.020904999862978,2291.489745602535,286.4362182003169,Qwen/Qwen3-8B,1
64,1024,1,1817.940627500093,0.0,35622.31727066641,34.78741920963517,Qwen/Qwen3-8B,1
64,1024,1024,22952.93498299975,20.882845999949495,1480.1260970268286,1480.1260970268286,Qwen/Qwen3-8B,1
64,4096,1,8548.854680000204,0.0,30600.073097176228,7.47072097099029,Qwen/Qwen3-8B,1
64,4096,1024,97799.21342900002,22.01196949977202,2169.8861589289922,542.4715397322481,Qwen/Qwen3-8B,1
64,8192,1,19625.43884050001,0.0,26681.84217475543,3.257060812348075,Qwen/Qwen3-8B,1
64,8192,1024,198731.0660945002,22.029844999906345,2292.3133517621354,286.5391689702669,Qwen/Qwen3-8B,1
128,1024,1,3623.955240500436,0.0,35741.066937336174,34.90338568099236,Qwen/Qwen3-8B,1
128,1024,1024,68065.76877200042,21.109940500082303,1480.187367760769,1480.187367760769,Qwen/Qwen3-8B,1
128,4096,1,17098.17968250036,0.0,30625.01260436299,7.476809717862058,Qwen/Qwen3-8B,1
128,4096,1024,219266.44482350003,22.046955000405433,2168.774135050952,542.193533762738,Qwen/Qwen3-8B,1
128,8192,1,39197.95317950002,0.0,26724.197550125056,3.2622311462555,Qwen/Qwen3-8B,1
128,8192,1024,421898.0536479999,22.055380499750754,2313.958106856647,289.2447633570809,Qwen/Qwen3-8B,1
